"","X","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"25",25,44,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"26",26,37,"technician","married","high.school","unknown","no","yes","cellular","may","thu",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"27",27,30,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"28",28,36,"technician","married","university.degree","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
"29",29,44,"admin.","married","high.school","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
"30",30,35,"admin.","single","university.degree","no","yes","yes","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"31",31,60,"retired","divorced","basic.4y","no","no","no","cellular","jun","mon",5,999,0,"nonexistent",-2.9,92.963,-40.8,1.215,5076.2,"no"
"32",32,28,"services","single","high.school","no","no","no","cellular","may","thu",4,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
"33",33,31,"admin.","married","university.degree","no","no","no","cellular","aug","thu",5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"34",34,46,"admin.","single","university.degree","no","yes","no","cellular","nov","tue",3,999,1,"failure",-1.1,94.767,-50.8,1.046,4963.6,"no"
"35",35,33,"technician","divorced","professional.course","no","no","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
"36",36,34,"technician","divorced","professional.course","no","yes","no","cellular","aug","fri",8,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"37",37,34,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","tue",9,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"38",38,37,"housemaid","married","high.school","unknown","no","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
"39",39,34,"services","married","high.school","no","no","no","telephone","may","mon",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"40",40,43,"housemaid","married","basic.4y","no","yes","no","cellular","jul","mon",4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"41",41,51,"technician","married","professional.course","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no"
"42",42,36,"admin.","married","university.degree","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
"43",43,49,"admin.","divorced","high.school","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"44",44,37,"technician","married","professional.course","no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"45",45,48,"admin.","married","professional.course","unknown","yes","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
"46",46,49,"admin.","married","basic.6y","no","yes","no","cellular","apr","wed",2,999,1,"failure",-1.8,93.075,-47.1,1.498,5099.1,"yes"
"47",47,42,"housemaid","married","high.school","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"48",48,37,"management","married","university.degree","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"49",49,38,"blue-collar","single","high.school","no","no","no","telephone","mar","tue",3,6,2,"success",-1.8,93.369,-34.8,0.652,5008.7,"yes"
"50",50,45,"technician","married","university.degree","no","yes","yes","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"yes"
"51",51,46,"services","divorced","high.school","no","no","yes","cellular","jul","tue",9,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"52",52,38,"admin.","single","high.school","unknown","yes","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
"53",53,53,"housemaid","married","unknown","no","no","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"54",54,32,"technician","married","university.degree","unknown","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"55",55,48,"admin.","married","university.degree","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"56",56,33,"management","married","university.degree","no","yes","no","cellular","jun","fri",5,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no"
"57",57,29,"self-employed","single","university.degree","no","yes","yes","cellular","sep","wed",2,999,0,"nonexistent",-1.1,94.199,-37.5,0.886,4963.6,"no"
"58",58,57,"management","married","university.degree","no","no","yes","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"59",59,38,"blue-collar","married","high.school","unknown","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"60",60,46,"blue-collar","married","basic.6y","no","yes","yes","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"61",61,33,"unemployed","divorced","basic.9y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"62",62,62,"retired","married","professional.course","no","yes","yes","cellular","aug","fri",2,999,1,"failure",-2.9,92.201,-31.4,0.825,5076.2,"yes"
"63",63,39,"technician","married","professional.course","no","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"64",64,35,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
"65",65,50,"blue-collar","married","unknown","unknown","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes"
"66",66,42,"technician","married","high.school","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"67",67,32,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"68",68,25,"blue-collar","single","basic.9y","no","no","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
"69",69,54,"technician","married","university.degree","no","unknown","unknown","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"70",70,54,"blue-collar","married","basic.9y","no","yes","no","cellular","jun","fri",2,3,1,"success",-2.9,92.963,-40.8,1.268,5076.2,"yes"
"71",71,56,"blue-collar","married","basic.4y","unknown","unknown","unknown","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"72",72,35,"services","married","basic.6y","unknown","no","no","cellular","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no"
"73",73,20,"student","single","high.school","no","yes","yes","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"74",74,41,"unemployed","married","professional.course","no","yes","no","cellular","may","mon",7,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"75",75,54,"blue-collar","married","basic.4y","unknown","no","no","cellular","aug","thu",6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"76",76,39,"admin.","married","university.degree","no","yes","yes","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"77",77,36,"services","married","high.school","unknown","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"78",78,42,"management","married","university.degree","unknown","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"79",79,40,"housemaid","married","basic.4y","unknown","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"80",80,40,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
"81",81,27,"services","single","university.degree","no","unknown","unknown","cellular","jul","wed",9,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"82",82,35,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"83",83,26,"admin.","single","university.degree","no","unknown","unknown","cellular","jun","tue",2,3,1,"success",-2.9,92.963,-40.8,1.262,5076.2,"yes"
"84",84,30,"admin.","single","high.school","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"yes"
"85",85,40,"management","married","basic.9y","unknown","unknown","unknown","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"86",86,45,"admin.","married","unknown","no","no","no","telephone","aug","fri",5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"87",87,50,"admin.","married","high.school","no","yes","no","telephone","may","tue",9,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"88",88,31,"admin.","married","high.school","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"89",89,35,"admin.","married","university.degree","no","yes","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.749,-34.6,0.642,5008.7,"yes"
"90",90,52,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"91",91,26,"management","single","university.degree","no","yes","no","cellular","oct","tue",1,6,1,"success",-3.4,92.431,-26.9,0.728,5017.5,"no"
"92",92,24,"admin.","single","high.school","unknown","no","no","telephone","may","tue",6,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
"93",93,36,"technician","married","high.school","no","no","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"94",94,32,"admin.","single","university.degree","unknown","no","no","cellular","aug","tue",5,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"95",95,60,"retired","married","high.school","unknown","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"96",96,38,"technician","single","basic.6y","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"97",97,45,"blue-collar","single","basic.9y","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.466,5099.1,"no"
"98",98,31,"management","married","university.degree","no","yes","no","cellular","aug","tue",6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"99",99,38,"technician","single","professional.course","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"100",100,47,"admin.","married","high.school","no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
"101",101,39,"blue-collar","married","professional.course","no","no","no","cellular","may","mon",1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
"102",102,44,"management","married","university.degree","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
"103",103,38,"services","divorced","basic.6y","no","yes","no","telephone","may","tue",2,10,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"yes"
"104",104,28,"blue-collar","single","university.degree","no","yes","no","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"no"
"105",105,43,"housemaid","married","basic.4y","unknown","no","no","telephone","may","tue",4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"106",106,30,"blue-collar","single","basic.6y","no","yes","no","telephone","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"107",107,44,"unemployed","married","high.school","no","yes","no","cellular","aug","thu",1,3,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"no"
"108",108,41,"services","married","professional.course","no","yes","yes","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"109",109,38,"management","divorced","university.degree","no","yes","no","cellular","jul","tue",9,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"110",110,54,"blue-collar","married","basic.6y","unknown","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"111",111,33,"self-employed","married","basic.9y","unknown","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"112",112,37,"management","divorced","unknown","no","no","yes","cellular","nov","mon",1,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,"no"
"113",113,51,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"114",114,59,"housemaid","married","basic.4y","unknown","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"115",115,33,"services","single","high.school","no","unknown","unknown","cellular","may","mon",1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
"116",116,40,"entrepreneur","married","basic.9y","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"117",117,37,"admin.","married","high.school","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"118",118,33,"blue-collar","married","basic.9y","no","no","yes","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"119",119,56,"technician","married","professional.course","unknown","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"120",120,49,"blue-collar","married","basic.6y","unknown","no","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"121",121,53,"self-employed","married","university.degree","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"122",122,37,"services","married","high.school","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"123",123,54,"management","divorced","professional.course","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"124",124,27,"technician","single","university.degree","no","yes","no","cellular","may","mon",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
"125",125,57,"admin.","divorced","university.degree","unknown","yes","no","cellular","nov","fri",7,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"126",126,40,"admin.","divorced","high.school","no","yes","yes","telephone","sep","wed",1,999,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"no"
"127",127,30,"management","divorced","high.school","no","yes","no","telephone","may","mon",5,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"128",128,47,"blue-collar","divorced","basic.9y","unknown","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"129",129,28,"blue-collar","single","professional.course","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"130",130,31,"blue-collar","single","high.school","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"131",131,59,"retired","married","unknown","no","no","yes","cellular","aug","fri",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"132",132,44,"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
"133",133,38,"technician","married","university.degree","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"134",134,30,"blue-collar","single","basic.9y","no","yes","no","cellular","may","thu",1,10,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"yes"
"135",135,34,"unemployed","single","university.degree","no","no","no","telephone","may","wed",3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"136",136,59,"retired","married","professional.course","no","no","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"137",137,48,"technician","married","professional.course","no","yes","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"138",138,49,"housemaid","married","basic.4y","unknown","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"yes"
"139",139,31,"technician","married","university.degree","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"140",140,45,"admin.","married","university.degree","no","no","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
"141",141,35,"technician","single","university.degree","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"142",142,38,"technician","single","high.school","unknown","yes","yes","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"143",143,29,"admin.","single","high.school","no","yes","yes","cellular","apr","thu",3,9,1,"success",-1.8,93.075,-47.1,1.41,5099.1,"no"
"144",144,39,"admin.","married","high.school","no","yes","no","telephone","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"145",145,54,"admin.","married","professional.course","no","no","no","telephone","may","mon",5,999,0,"nonexistent",-1.8,93.876,-40,0.685,5008.7,"no"
"146",146,23,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
"147",147,45,"blue-collar","single","basic.9y","no","yes","yes","telephone","may","tue",6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"148",148,33,"services","married","high.school","unknown","no","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
"149",149,54,"housemaid","married","university.degree","no","no","no","cellular","aug","wed",3,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,"no"
"150",150,40,"admin.","married","basic.6y","no","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"151",151,38,"admin.","single","university.degree","no","yes","yes","cellular","may","mon",7,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"152",152,41,"blue-collar","married","basic.4y","unknown","no","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"153",153,46,"technician","married","university.degree","no","no","no","telephone","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"154",154,47,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"155",155,48,"admin.","divorced","university.degree","no","no","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"156",156,39,"services","divorced","high.school","no","no","no","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"157",157,33,"admin.","single","university.degree","no","no","no","cellular","jul","fri",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.059,5076.2,"yes"
"158",158,49,"admin.","single","high.school","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"159",159,58,"admin.","married","university.degree","no","no","no","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"160",160,42,"services","divorced","basic.6y","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"161",161,34,"services","married","high.school","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"162",162,40,"blue-collar","married","basic.6y","no","yes","no","cellular","apr","mon",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"163",163,28,"blue-collar","married","high.school","no","yes","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"164",164,58,"retired","married","university.degree","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"165",165,51,"services","married","unknown","no","no","no","cellular","aug","fri",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"166",166,22,"student","single","high.school","no","unknown","unknown","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"167",167,48,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
"168",168,48,"services","single","basic.4y","unknown","yes","yes","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"169",169,32,"services","single","professional.course","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"170",170,38,"technician","married","professional.course","no","no","no","cellular","aug","mon",1,999,1,"failure",-2.9,92.201,-31.4,0.884,5076.2,"yes"
"171",171,36,"blue-collar","married","basic.4y","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"172",172,32,"admin.","single","unknown","no","yes","yes","cellular","may","fri",7,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
"173",173,30,"blue-collar","married","basic.9y","no","unknown","unknown","telephone","may","wed",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"174",174,36,"blue-collar","married","basic.6y","unknown","unknown","unknown","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"175",175,28,"services","single","high.school","no","yes","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"176",176,34,"unemployed","married","basic.9y","unknown","yes","no","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"177",177,58,"unknown","married","basic.4y","no","no","yes","telephone","may","tue",3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"178",178,48,"services","married","high.school","no","no","no","cellular","apr","mon",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
"179",179,58,"retired","married","basic.4y","unknown","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
"180",180,33,"admin.","married","university.degree","no","yes","no","telephone","may","mon",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"181",181,58,"management","single","university.degree","no","no","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"182",182,36,"technician","single","professional.course","no","yes","yes","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"183",183,44,"blue-collar","married","basic.6y","no","yes","yes","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"184",184,32,"technician","married","professional.course","no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"185",185,46,"blue-collar","married","basic.9y","no","no","no","telephone","jun","wed",9,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
