"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
44,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","tue",294,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
37,"technician","married","high.school","unknown","no","yes","cellular","may","thu",102,6,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
30,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","thu",52,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
36,"technician","married","university.degree","no","yes","no","cellular","may","fri",285,1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
44,"admin.","married","high.school","no","no","no","telephone","jun","fri",36,2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
35,"admin.","single","university.degree","no","yes","yes","cellular","aug","mon",100,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
60,"retired","divorced","basic.4y","no","no","no","cellular","jun","mon",111,5,999,0,"nonexistent",-2.9,92.963,-40.8,1.215,5076.2,"no"
28,"services","single","high.school","no","no","no","cellular","may","thu",99,4,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
31,"admin.","married","university.degree","no","no","no","cellular","aug","thu",36,5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
46,"admin.","single","university.degree","no","yes","no","cellular","nov","tue",1166,3,999,1,"failure",-1.1,94.767,-50.8,1.046,4963.6,"no"
33,"technician","divorced","professional.course","no","no","no","cellular","aug","mon",686,2,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
34,"technician","divorced","professional.course","no","yes","no","cellular","aug","fri",644,8,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
34,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","tue",195,10,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
37,"housemaid","married","high.school","unknown","no","no","cellular","aug","thu",126,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
34,"services","married","high.school","no","no","no","telephone","may","mon",97,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"housemaid","married","basic.4y","no","yes","no","cellular","jul","mon",88,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
51,"technician","married","professional.course","no","yes","no","cellular","apr","thu",115,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no"
36,"admin.","married","university.degree","no","no","no","cellular","may","tue",65,1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
49,"admin.","divorced","high.school","no","yes","no","telephone","may","fri",137,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
37,"technician","married","professional.course","no","yes","no","cellular","aug","mon",393,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
48,"admin.","married","professional.course","unknown","yes","no","telephone","jun","thu",49,2,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
49,"admin.","married","basic.6y","no","yes","no","cellular","apr","wed",805,2,999,1,"failure",-1.8,93.075,-47.1,1.498,5099.1,"yes"
42,"housemaid","married","high.school","no","yes","no","cellular","aug","tue",176,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
37,"management","married","university.degree","no","no","no","cellular","nov","thu",89,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
38,"blue-collar","single","high.school","no","no","no","telephone","mar","tue",450,3,6,2,"success",-1.8,93.369,-34.8,0.652,5008.7,"yes"
45,"technician","married","university.degree","no","yes","yes","telephone","may","tue",845,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"yes"
46,"services","divorced","high.school","no","no","yes","cellular","jul","tue",246,17,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
38,"admin.","single","high.school","unknown","yes","no","telephone","jun","mon",287,2,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
53,"housemaid","married","unknown","no","no","no","cellular","aug","mon",106,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
32,"technician","married","university.degree","unknown","yes","no","cellular","aug","tue",695,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
48,"admin.","married","university.degree","no","yes","no","cellular","jul","mon",99,2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
33,"management","married","university.degree","no","yes","no","cellular","jun","fri",139,5,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no"
29,"self-employed","single","university.degree","no","yes","yes","cellular","sep","wed",95,2,999,0,"nonexistent",-1.1,94.199,-37.5,0.886,4963.6,"no"
57,"management","married","university.degree","no","no","yes","cellular","nov","tue",218,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
38,"blue-collar","married","high.school","unknown","yes","no","telephone","may","wed",173,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
46,"blue-collar","married","basic.6y","no","yes","yes","cellular","aug","mon",104,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
33,"unemployed","divorced","basic.9y","no","yes","no","telephone","may","thu",180,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
62,"retired","married","professional.course","no","yes","yes","cellular","aug","fri",517,2,999,1,"failure",-2.9,92.201,-31.4,0.825,5076.2,"yes"
39,"technician","married","professional.course","no","no","no","cellular","jul","tue",62,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
35,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",448,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
50,"blue-collar","married","unknown","unknown","no","no","cellular","jul","thu",1275,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes"
42,"technician","married","high.school","no","no","no","telephone","jun","thu",677,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
32,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon",41,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
25,"blue-collar","single","basic.9y","no","no","no","cellular","may","fri",170,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
54,"technician","married","university.degree","no","unknown","unknown","cellular","nov","mon",56,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
54,"blue-collar","married","basic.9y","no","yes","no","cellular","jun","fri",239,2,3,1,"success",-2.9,92.963,-40.8,1.268,5076.2,"yes"
56,"blue-collar","married","basic.4y","unknown","unknown","unknown","telephone","may","thu",137,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
35,"services","married","basic.6y","unknown","no","no","cellular","may","tue",178,2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no"
20,"student","single","high.school","no","yes","yes","cellular","jul","tue",136,4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
41,"unemployed","married","professional.course","no","yes","no","cellular","may","mon",34,7,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
54,"blue-collar","married","basic.4y","unknown","no","no","cellular","aug","thu",65,6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
39,"admin.","married","university.degree","no","yes","yes","cellular","jul","wed",53,6,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
36,"services","married","high.school","unknown","no","no","telephone","may","thu",291,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
42,"management","married","university.degree","unknown","yes","no","telephone","may","wed",265,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
40,"housemaid","married","basic.4y","unknown","yes","no","telephone","jun","thu",397,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
40,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","jun","mon",21,1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
27,"services","single","university.degree","no","unknown","unknown","cellular","jul","wed",288,9,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
35,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",45,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
26,"admin.","single","university.degree","no","unknown","unknown","cellular","jun","tue",271,2,3,1,"success",-2.9,92.963,-40.8,1.262,5076.2,"yes"
30,"admin.","single","high.school","no","no","no","telephone","may","wed",860,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"yes"
40,"management","married","basic.9y","unknown","unknown","unknown","telephone","may","tue",427,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
45,"admin.","married","unknown","no","no","no","telephone","aug","fri",105,5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
50,"admin.","married","high.school","no","yes","no","telephone","may","tue",20,19,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
31,"admin.","married","high.school","unknown","no","no","telephone","may","fri",172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
35,"admin.","married","university.degree","no","yes","no","cellular","apr","mon",176,1,999,0,"nonexistent",-1.8,93.749,-34.6,0.642,5008.7,"yes"
52,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","mon",201,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
26,"management","single","university.degree","no","yes","no","cellular","oct","tue",114,1,6,1,"success",-3.4,92.431,-26.9,0.728,5017.5,"no"
24,"admin.","single","high.school","unknown","no","no","telephone","may","tue",748,6,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
36,"technician","married","high.school","no","no","no","cellular","aug","mon",46,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
32,"admin.","single","university.degree","unknown","no","no","cellular","aug","tue",240,5,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
60,"retired","married","high.school","unknown","yes","no","telephone","may","tue",220,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
38,"technician","single","basic.6y","no","yes","no","cellular","nov","wed",164,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
45,"blue-collar","single","basic.9y","no","no","no","cellular","apr","mon",129,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.466,5099.1,"no"
31,"management","married","university.degree","no","yes","no","cellular","aug","tue",57,6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
38,"technician","single","professional.course","no","no","no","telephone","may","wed",127,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
47,"admin.","married","high.school","no","yes","no","cellular","aug","mon",1152,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
39,"blue-collar","married","professional.course","no","no","no","cellular","may","mon",149,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
44,"management","married","university.degree","no","yes","no","cellular","may","fri",217,1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
38,"services","divorced","basic.6y","no","yes","no","telephone","may","tue",556,2,10,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"yes"
28,"blue-collar","single","university.degree","no","yes","no","cellular","apr","tue",49,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"no"
43,"housemaid","married","basic.4y","unknown","no","no","telephone","may","tue",365,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"blue-collar","single","basic.6y","no","yes","no","telephone","jul","tue",135,5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
44,"unemployed","married","high.school","no","yes","no","cellular","aug","thu",143,1,3,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"no"
41,"services","married","professional.course","no","yes","yes","cellular","jul","fri",348,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
38,"management","divorced","university.degree","no","yes","no","cellular","jul","tue",543,9,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
54,"blue-collar","married","basic.6y","unknown","no","no","telephone","jun","thu",211,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
33,"self-employed","married","basic.9y","unknown","no","no","cellular","aug","fri",116,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
37,"management","divorced","unknown","no","no","yes","cellular","nov","mon",74,1,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,"no"
51,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","fri",205,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
59,"housemaid","married","basic.4y","unknown","no","no","cellular","jul","tue",483,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
33,"services","single","high.school","no","unknown","unknown","cellular","may","mon",216,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
40,"entrepreneur","married","basic.9y","no","no","no","telephone","may","tue",109,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
37,"admin.","married","high.school","no","yes","no","telephone","jun","thu",581,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
33,"blue-collar","married","basic.9y","no","no","yes","telephone","may","fri",84,4,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
56,"technician","married","professional.course","unknown","yes","no","cellular","aug","wed",83,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
49,"blue-collar","married","basic.6y","unknown","no","no","cellular","jul","wed",221,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
53,"self-employed","married","university.degree","no","yes","no","cellular","aug","thu",171,1,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
37,"services","married","high.school","no","yes","no","telephone","may","tue",76,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
54,"management","divorced","professional.course","no","no","no","cellular","jul","mon",89,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
27,"technician","single","university.degree","no","yes","no","cellular","may","mon",77,6,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
57,"admin.","divorced","university.degree","unknown","yes","no","cellular","nov","fri",6,7,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
40,"admin.","divorced","high.school","no","yes","yes","telephone","sep","wed",21,1,999,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"no"
30,"management","divorced","high.school","no","yes","no","telephone","may","mon",19,5,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
47,"blue-collar","divorced","basic.9y","unknown","yes","no","telephone","may","wed",64,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
28,"blue-collar","single","professional.course","no","yes","no","cellular","may","mon",113,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
31,"blue-collar","single","high.school","no","yes","no","cellular","may","wed",125,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
59,"retired","married","unknown","no","no","yes","cellular","aug","fri",88,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
44,"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",383,1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
38,"technician","married","university.degree","no","no","no","cellular","aug","tue",264,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
30,"blue-collar","single","basic.9y","no","yes","no","cellular","may","thu",623,1,10,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"yes"
34,"unemployed","single","university.degree","no","no","no","telephone","may","wed",115,3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
59,"retired","married","professional.course","no","no","no","telephone","may","thu",422,3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
48,"technician","married","professional.course","no","yes","no","telephone","may","mon",41,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
49,"housemaid","married","basic.4y","unknown","yes","no","cellular","aug","wed",501,1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"yes"
31,"technician","married","university.degree","no","yes","no","cellular","aug","wed",239,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
45,"admin.","married","university.degree","no","no","no","cellular","aug","mon",608,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
35,"technician","single","university.degree","no","no","no","telephone","may","fri",58,3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
38,"technician","single","high.school","unknown","yes","yes","cellular","aug","mon",265,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
29,"admin.","single","high.school","no","yes","yes","cellular","apr","thu",123,3,9,1,"success",-1.8,93.075,-47.1,1.41,5099.1,"no"
39,"admin.","married","high.school","no","yes","no","telephone","jul","wed",128,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
54,"admin.","married","professional.course","no","no","no","telephone","may","mon",564,5,999,0,"nonexistent",-1.8,93.876,-40,0.685,5008.7,"no"
23,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",413,1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
45,"blue-collar","single","basic.9y","no","yes","yes","telephone","may","tue",347,6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
33,"services","married","high.school","unknown","no","no","telephone","jun","fri",78,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
54,"housemaid","married","university.degree","no","no","no","cellular","aug","wed",77,3,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,"no"
40,"admin.","married","basic.6y","no","no","no","telephone","may","mon",151,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
38,"admin.","single","university.degree","no","yes","yes","cellular","may","mon",30,7,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
41,"blue-collar","married","basic.4y","unknown","no","no","cellular","jul","mon",103,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
46,"technician","married","university.degree","no","no","no","telephone","jul","wed",60,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
47,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",217,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
48,"admin.","divorced","university.degree","no","no","no","telephone","jun","tue",418,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
39,"services","divorced","high.school","no","no","no","cellular","jul","thu",151,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
33,"admin.","single","university.degree","no","no","no","cellular","jul","fri",704,1,999,0,"nonexistent",-2.9,92.469,-33.6,1.059,5076.2,"yes"
49,"admin.","single","high.school","no","yes","no","cellular","jul","tue",1281,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
58,"admin.","married","university.degree","no","no","no","cellular","aug","wed",233,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
42,"services","divorced","basic.6y","no","no","no","telephone","jun","mon",71,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
34,"services","married","high.school","no","no","no","telephone","may","tue",139,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"blue-collar","married","basic.6y","no","yes","no","cellular","apr","mon",374,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
28,"blue-collar","married","high.school","no","yes","no","cellular","jul","mon",392,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
58,"retired","married","university.degree","no","no","no","telephone","may","tue",98,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
51,"services","married","unknown","no","no","no","cellular","aug","fri",547,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
22,"student","single","high.school","no","unknown","unknown","telephone","jun","tue",1199,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
48,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","wed",78,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
48,"services","single","basic.4y","unknown","yes","yes","cellular","may","thu",306,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
32,"services","single","professional.course","no","no","no","telephone","may","thu",589,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
38,"technician","married","professional.course","no","no","no","cellular","aug","mon",923,1,999,1,"failure",-2.9,92.201,-31.4,0.884,5076.2,"yes"
36,"blue-collar","married","basic.4y","no","no","no","telephone","jun","mon",90,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
32,"admin.","single","unknown","no","yes","yes","cellular","may","fri",38,7,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
30,"blue-collar","married","basic.9y","no","unknown","unknown","telephone","may","wed",107,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
36,"blue-collar","married","basic.6y","unknown","unknown","unknown","telephone","may","mon",190,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
28,"services","single","high.school","no","yes","yes","telephone","may","fri",372,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"unemployed","married","basic.9y","unknown","yes","no","cellular","apr","fri",71,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
58,"unknown","married","basic.4y","no","no","yes","telephone","may","tue",295,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
48,"services","married","high.school","no","no","no","cellular","apr","mon",1112,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
58,"retired","married","basic.4y","unknown","yes","no","cellular","may","wed",205,1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
33,"admin.","married","university.degree","no","yes","no","telephone","may","mon",89,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
58,"management","single","university.degree","no","no","no","cellular","may","fri",90,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
36,"technician","single","professional.course","no","yes","yes","cellular","aug","tue",127,3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
44,"blue-collar","married","basic.6y","no","yes","yes","cellular","aug","tue",222,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
32,"technician","married","professional.course","no","yes","no","cellular","aug","mon",187,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
46,"blue-collar","married","basic.9y","no","no","no","telephone","jun","wed",152,10,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
35,"entrepreneur","married","high.school","no","no","no","cellular","sep","tue",91,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.819,5017.5,"no"
26,"admin.","single","university.degree","no","yes","no","telephone","sep","thu",471,1,7,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes"
28,"blue-collar","single","basic.4y","unknown","no","no","cellular","jul","wed",186,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
36,"services","married","high.school","unknown","no","no","telephone","jun","wed",90,3,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
28,"blue-collar","single","basic.9y","no","yes","no","cellular","may","thu",225,1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
54,"self-employed","married","basic.9y","no","yes","no","cellular","apr","thu",133,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.435,5099.1,"no"
58,"blue-collar","divorced","unknown","no","yes","no","telephone","jun","wed",215,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
43,"services","divorced","basic.6y","no","yes","no","cellular","aug","wed",40,3,999,0,"nonexistent",-2.9,92.201,-31.4,0.884,5076.2,"no"
